source,dest,weight
tropical fruit,salty snack,168
tropical fruit,specialty cheese,46
tropical fruit,baking powder,79
tropical fruit,dish cleaner,51
tropical fruit,sliced cheese,137
tropical fruit,frozen vegetables,233
tropical fruit,whipped/sour cream,307
tropical fruit,oil,143
tropical fruit,salt,55
tropical fruit,shopping bags,302
tropical fruit,margarine,243
tropical fruit,domestic eggs,286
tropical fruit,photo/film,59
tropical fruit,hair spray,8
tropical fruit,onions,194
tropical fruit,candy,133
tropical fruit,UHT-milk,207
tropical fruit,liquor (appetizer),47
tropical fruit,pickled vegetables,79
tropical fruit,liquor,80
tropical fruit,cream cheese,207
tropical fruit,hard cheese,140
tropical fruit,ice cream,164
tropical fruit,meat,171
tropical fruit,white wine,115
tropical fruit,cleaner,22
tropical fruit,condensed milk,72
tropical fruit,specialty chocolate,138
tropical fruit,dog food,42
tropical fruit,dessert,209
tropical fruit,bottled beer,305
tropical fruit,beverages,156
tropical fruit,finished products,45
tropical fruit,popcorn,35
tropical fruit,pasta,86
tropical fruit,curd,276
tropical fruit,newspapers,299
tropical fruit,sparkling wine,29
tropical fruit,fish,21
tropical fruit,processed cheese,101
tropical fruit,grapes,140
tropical fruit,detergent,82
tropical fruit,soda,448
tropical fruit,herbs,102
tropical fruit,frozen meals,162
tropical fruit,sugar,154
tropical fruit,flour,94
tropical fruit,frozen potato products,48
tropical fruit,red/blush wine,105
tropical fruit,curd cheese,30
tropical fruit,turkey,57
tropical fruit,ham,164
tropical fruit,misc. beverages,135
tropical fruit,coffee,255
tropical fruit,berries,191
tropical fruit,canned beer,324
tropical fruit,pastry,346
tropical fruit,pork,254
tropical fruit,root vegetables,402
tropical fruit,hamburger meat,193
tropical fruit,brown bread,281
tropical fruit,sausage,349
tropical fruit,yogurt,439
tropical fruit,bottled water,367
tropical fruit,butter milk,170
tropical fruit,specialty bar,128
tropical fruit,chocolate,219
tropical fruit,packaged fruit/vegetables,94
tropical fruit,fruit/vegetable juice,258
tropical fruit,butter,272
tropical fruit,chicken,236
tropical fruit,frankfurter,264
tropical fruit,beef,262
tropical fruit,citrus fruit,361
tropical fruit,pot plants,88
tropical fruit,rolls/buns,478
tropical fruit,other vegetables,488
tropical fruit,pip fruit,343
tropical fruit,whole milk,505
whole milk,preservation products,1
whole milk,toilet cleaner,4
whole milk,make up remover,5
whole milk,ready soups,15
whole milk,pudding powder,17
whole milk,specialty vegetables,11
whole milk,salad dressing,6
whole milk,tea,25
whole milk,rice,47
whole milk,flower (seeds),64
whole milk,kitchen utensil,1
whole milk,jam,33
whole milk,honey,13
whole milk,cake bar,85
whole milk,organic products,10
whole milk,softener,39
whole milk,cocoa drinks,16
whole milk,nut snack,19
whole milk,rubbing alcohol,5
whole milk,skin care,19
whole milk,cream,12
whole milk,ketchup,32
whole milk,syrup,20
whole milk,abrasive cleaner,21
whole milk,liqueur,9
whole milk,seasonal products,102
whole milk,cooking chocolate,14
whole milk,tidbits,22
whole milk,whisky,8
whole milk,candles,58
whole milk,male cosmetics,31
whole milk,dishes,118
whole milk,meat spreads,34
whole milk,cereals,40
whole milk,flower soil/fertilizer,15
whole milk,kitchen towels,30
whole milk,roll products,76
whole milk,dental care,30
whole milk,mayonnaise,66
whole milk,soft cheese,138
whole milk,organic sausage,18
whole milk,snack products,25
whole milk,instant coffee,54
whole milk,specialty fat,29
whole milk,mustard,83
whole milk,soups,44
whole milk,sweet spreads,64
whole milk,bags,4
whole milk,long life bakery product,212
whole milk,chocolate marshmallow,56
whole milk,rum,30
whole milk,sauces,42
whole milk,waffles,213
whole milk,napkins,256
whole milk,spices,38
whole milk,baby cosmetics,3
whole milk,brandy,38
whole milk,frozen fruits,11
whole milk,canned fruit,19
whole milk,zwieback,55
whole milk,liver loaf,45
whole milk,prosecco,19
whole milk,bathroom cleaner,16
whole milk,cat food,147
whole milk,semi-finished bread,121
whole milk,cookware,16
whole milk,canned fish,98
whole milk,chewing gum,155
whole milk,canned vegetables,74
whole milk,light bulbs,27
whole milk,artif. sweetener,28
whole milk,hygiene articles,179
whole milk,frozen fish,91
whole milk,potato products,20
whole milk,nuts/prunes,29
whole milk,vinegar,47
whole milk,frozen dessert,86
whole milk,decalcifier,9
whole milk,spread cheese,92
whole milk,house keeping products,43
whole milk,frozen chicken,4
whole milk,soap,20
whole milk,cling film/bags,68
whole milk,female sanitary products,38
whole milk,white bread,275
whole milk,pet care,78
whole milk,Instant food products,55
whole milk,salty snack,216
whole milk,specialty cheese,65
whole milk,baking powder,109
whole milk,dish cleaner,60
whole milk,sliced cheese,182
whole milk,frozen vegetables,296
whole milk,whipped/sour cream,404
whole milk,oil,188
whole milk,salt,75
whole milk,shopping bags,423
whole milk,margarine,333
whole milk,domestic eggs,380
whole milk,photo/film,70
whole milk,hair spray,9
whole milk,onions,244
whole milk,candy,179
whole milk,UHT-milk,253
whole milk,liquor (appetizer),61
whole milk,pickled vegetables,114
whole milk,liquor,93
whole milk,cream cheese,269
whole milk,hard cheese,178
whole milk,ice cream,201
whole milk,meat,209
whole milk,white wine,148
whole milk,cleaner,27
whole milk,condensed milk,85
whole milk,specialty chocolate,191
whole milk,dog food,65
whole milk,dessert,267
whole milk,bottled beer,405
whole milk,beverages,208
whole milk,finished products,56
whole milk,popcorn,46
whole milk,pasta,110
whole milk,curd,352
whole milk,newspapers,394
whole milk,sparkling wine,44
whole milk,fish,27
whole milk,processed cheese,133
whole milk,grapes,171
whole milk,detergent,115
whole milk,soda,595
whole milk,herbs,138
whole milk,frozen meals,202
whole milk,sugar,208
whole milk,flour,129
whole milk,frozen potato products,61
whole milk,red/blush wine,130
whole milk,curd cheese,40
whole milk,turkey,73
whole milk,ham,201
whole milk,misc. beverages,181
whole milk,coffee,332
whole milk,berries,254
whole milk,canned beer,421
whole milk,pastry,454
whole milk,pork,329
whole milk,root vegetables,525
whole milk,hamburger meat,253
whole milk,brown bread,383
whole milk,sausage,440
whole milk,yogurt,574
whole milk,bottled water,486
whole milk,butter milk,219
whole milk,specialty bar,181
whole milk,chocolate,285
whole milk,packaged fruit/vegetables,122
whole milk,fruit/vegetable juice,347
whole milk,butter,356
whole milk,chicken,298
whole milk,frankfurter,327
whole milk,beef,331
whole milk,citrus fruit,450
whole milk,pot plants,110
whole milk,rolls/buns,620
whole milk,other vegetables,637
whole milk,pip fruit,447
pip fruit,toilet cleaner,4
pip fruit,make up remover,5
pip fruit,ready soups,9
pip fruit,pudding powder,9
pip fruit,specialty vegetables,6
pip fruit,salad dressing,3
pip fruit,tea,16
pip fruit,rice,30
pip fruit,flower (seeds),39
pip fruit,kitchen utensil,1
pip fruit,jam,21
pip fruit,honey,8
pip fruit,cake bar,57
pip fruit,organic products,3
pip fruit,softener,28
pip fruit,cocoa drinks,11
pip fruit,nut snack,18
pip fruit,rubbing alcohol,3
pip fruit,skin care,13
pip fruit,cream,10
pip fruit,ketchup,22
pip fruit,syrup,15
pip fruit,abrasive cleaner,16
pip fruit,liqueur,5
pip fruit,seasonal products,67
pip fruit,cooking chocolate,8
pip fruit,tidbits,15
pip fruit,whisky,5
pip fruit,candles,35
pip fruit,male cosmetics,31
pip fruit,dishes,82
pip fruit,meat spreads,25
pip fruit,cereals,27
pip fruit,flower soil/fertilizer,9
pip fruit,kitchen towels,13
pip fruit,roll products,47
pip fruit,dental care,18
pip fruit,mayonnaise,44
pip fruit,soft cheese,101
pip fruit,organic sausage,16
pip fruit,snack products,18
pip fruit,instant coffee,33
pip fruit,specialty fat,18
pip fruit,mustard,60
pip fruit,soups,28
pip fruit,sweet spreads,49
pip fruit,bags,4
pip fruit,long life bakery product,135
pip fruit,chocolate marshmallow,44
pip fruit,rum,23
pip fruit,sauces,25
pip fruit,waffles,140
pip fruit,napkins,172
pip fruit,spices,22
pip fruit,baby cosmetics,1
pip fruit,brandy,26
pip fruit,frozen fruits,7
pip fruit,canned fruit,13
pip fruit,zwieback,34
pip fruit,liver loaf,32
pip fruit,prosecco,15
pip fruit,bathroom cleaner,6
pip fruit,cat food,93
pip fruit,semi-finished bread,80
pip fruit,cookware,13
pip fruit,canned fish,65
pip fruit,chewing gum,103
pip fruit,canned vegetables,49
pip fruit,light bulbs,15
pip fruit,artif. sweetener,23
pip fruit,hygiene articles,120
pip fruit,frozen fish,67
pip fruit,potato products,18
pip fruit,nuts/prunes,19
pip fruit,vinegar,38
pip fruit,frozen dessert,58
pip fruit,decalcifier,4
pip fruit,spread cheese,59
pip fruit,house keeping products,31
pip fruit,frozen chicken,4
pip fruit,soap,14
pip fruit,cling film/bags,52
pip fruit,female sanitary products,24
pip fruit,white bread,191
pip fruit,pet care,56
pip fruit,Instant food products,37
pip fruit,salty snack,146
pip fruit,specialty cheese,48
pip fruit,baking powder,66
pip fruit,dish cleaner,41
pip fruit,sliced cheese,109
pip fruit,frozen vegetables,204
pip fruit,whipped/sour cream,269
pip fruit,oil,127
pip fruit,salt,56
pip fruit,shopping bags,283
pip fruit,margarine,221
pip fruit,domestic eggs,242
pip fruit,photo/film,46
pip fruit,hair spray,5
pip fruit,onions,158
pip fruit,candy,121
pip fruit,UHT-milk,169
pip fruit,liquor (appetizer),42
pip fruit,pickled vegetables,83
pip fruit,liquor,67
pip fruit,cream cheese,186
pip fruit,hard cheese,123
pip fruit,ice cream,139
pip fruit,meat,151
pip fruit,white wine,104
pip fruit,cleaner,15
pip fruit,condensed milk,58
pip fruit,specialty chocolate,123
pip fruit,dog food,43
pip fruit,dessert,193
pip fruit,bottled beer,294
pip fruit,beverages,137
pip fruit,finished products,47
pip fruit,popcorn,31
pip fruit,pasta,71
pip fruit,curd,246
pip fruit,newspapers,262
pip fruit,sparkling wine,33
pip fruit,fish,19
pip fruit,processed cheese,100
pip fruit,grapes,125
pip fruit,detergent,81
pip fruit,soda,393
pip fruit,herbs,89
pip fruit,frozen meals,145
pip fruit,sugar,138
pip fruit,flour,85
pip fruit,frozen potato products,49
pip fruit,red/blush wine,85
pip fruit,curd cheese,26
pip fruit,turkey,42
pip fruit,ham,148
pip fruit,misc. beverages,120
pip fruit,coffee,226
pip fruit,berries,168
pip fruit,canned beer,282
pip fruit,pastry,303
pip fruit,pork,240
pip fruit,root vegetables,367
pip fruit,hamburger meat,170
pip fruit,brown bread,253
pip fruit,sausage,314
pip fruit,yogurt,388
pip fruit,bottled water,337
pip fruit,butter milk,155
pip fruit,specialty bar,116
pip fruit,chocolate,196
pip fruit,packaged fruit/vegetables,76
pip fruit,fruit/vegetable juice,225
pip fruit,butter,247
pip fruit,chicken,210
pip fruit,frankfurter,232
pip fruit,beef,222
pip fruit,citrus fruit,306
pip fruit,pot plants,70
pip fruit,rolls/buns,418
pip fruit,other vegetables,424
other vegetables,preservation products,1
other vegetables,toilet cleaner,5
other vegetables,make up remover,3
other vegetables,ready soups,14
other vegetables,pudding powder,16
other vegetables,specialty vegetables,9
other vegetables,salad dressing,6
other vegetables,tea,22
other vegetables,rice,39
other vegetables,flower (seeds),58
other vegetables,kitchen utensil,1
other vegetables,jam,28
other vegetables,honey,10
other vegetables,cake bar,81
other vegetables,organic products,10
other vegetables,softener,39
other vegetables,cocoa drinks,15
other vegetables,nut snack,19
other vegetables,rubbing alcohol,5
other vegetables,skin care,18
other vegetables,cream,11
other vegetables,ketchup,28
other vegetables,syrup,20
other vegetables,abrasive cleaner,22
other vegetables,liqueur,7
other vegetables,seasonal products,90
other vegetables,cooking chocolate,14
other vegetables,tidbits,22
other vegetables,whisky,8
other vegetables,candles,56
other vegetables,male cosmetics,32
other vegetables,dishes,113
other vegetables,meat spreads,32
other vegetables,cereals,36
other vegetables,flower soil/fertilizer,15
other vegetables,kitchen towels,28
other vegetables,roll products,69
other vegetables,dental care,28
other vegetables,mayonnaise,57
other vegetables,soft cheese,131
other vegetables,organic sausage,19
other vegetables,snack products,24
other vegetables,instant coffee,51
other vegetables,specialty fat,27
other vegetables,mustard,83
other vegetables,soups,39
other vegetables,sweet spreads,61
other vegetables,bags,4
other vegetables,long life bakery product,200
other vegetables,chocolate marshmallow,54
other vegetables,rum,27
other vegetables,sauces,40
other vegetables,waffles,199
other vegetables,napkins,239
other vegetables,spices,36
other vegetables,baby cosmetics,2
other vegetables,brandy,34
other vegetables,frozen fruits,11
other vegetables,canned fruit,20
other vegetables,zwieback,54
other vegetables,liver loaf,45
other vegetables,prosecco,16
other vegetables,bathroom cleaner,16
other vegetables,cat food,146
other vegetables,semi-finished bread,121
other vegetables,cookware,16
other vegetables,canned fish,94
other vegetables,chewing gum,149
other vegetables,canned vegetables,64
other vegetables,light bulbs,26
other vegetables,artif. sweetener,24
other vegetables,hygiene articles,158
other vegetables,frozen fish,83
other vegetables,potato products,20
other vegetables,nuts/prunes,27
other vegetables,vinegar,48
other vegetables,frozen dessert,82
other vegetables,decalcifier,8
other vegetables,spread cheese,86
other vegetables,house keeping products,40
other vegetables,frozen chicken,5
other vegetables,soap,18
other vegetables,cling film/bags,64
other vegetables,female sanitary products,36
other vegetables,white bread,257
other vegetables,pet care,77
other vegetables,Instant food products,53
other vegetables,salty snack,213
other vegetables,specialty cheese,64
other vegetables,baking powder,97
other vegetables,dish cleaner,65
other vegetables,sliced cheese,174
other vegetables,frozen vegetables,287
other vegetables,whipped/sour cream,386
other vegetables,oil,180
other vegetables,salt,70
other vegetables,shopping bags,403
other vegetables,margarine,310
other vegetables,domestic eggs,363
other vegetables,photo/film,72
other vegetables,hair spray,8
other vegetables,onions,240
other vegetables,candy,173
other vegetables,UHT-milk,245
other vegetables,liquor (appetizer),55
other vegetables,pickled vegetables,114
other vegetables,liquor,90
other vegetables,cream cheese,258
other vegetables,hard cheese,172
other vegetables,ice cream,193
other vegetables,meat,198
other vegetables,white wine,141
other vegetables,cleaner,26
other vegetables,condensed milk,86
other vegetables,specialty chocolate,179
other vegetables,dog food,58
other vegetables,dessert,260
other vegetables,bottled beer,390
other vegetables,beverages,196
other vegetables,finished products,54
other vegetables,popcorn,44
other vegetables,pasta,106
other vegetables,curd,338
other vegetables,newspapers,377
other vegetables,sparkling wine,43
other vegetables,fish,26
other vegetables,processed cheese,125
other vegetables,grapes,163
other vegetables,detergent,108
other vegetables,soda,563
other vegetables,herbs,129
other vegetables,frozen meals,187
other vegetables,sugar,200
other vegetables,flour,121
other vegetables,frozen potato products,61
other vegetables,red/blush wine,132
other vegetables,curd cheese,39
other vegetables,turkey,67
other vegetables,ham,194
other vegetables,misc. beverages,175
other vegetables,coffee,315
other vegetables,berries,239
other vegetables,canned beer,406
other vegetables,pastry,428
other vegetables,pork,309
other vegetables,root vegetables,502
other vegetables,hamburger meat,243
other vegetables,brown bread,363
other vegetables,sausage,418
other vegetables,yogurt,552
other vegetables,bottled water,473
other vegetables,butter milk,212
other vegetables,specialty bar,177
other vegetables,chocolate,263
other vegetables,packaged fruit/vegetables,112
other vegetables,fruit/vegetable juice,327
other vegetables,butter,341
other vegetables,chicken,282
other vegetables,frankfurter,320
other vegetables,beef,315
other vegetables,citrus fruit,427
other vegetables,pot plants,103
other vegetables,rolls/buns,594
rolls/buns,toilet cleaner,5
rolls/buns,make up remover,5
rolls/buns,ready soups,13
rolls/buns,pudding powder,16
rolls/buns,specialty vegetables,10
rolls/buns,salad dressing,6
rolls/buns,tea,23
rolls/buns,rice,40
rolls/buns,flower (seeds),61
rolls/buns,kitchen utensil,1
rolls/buns,jam,32
rolls/buns,honey,13
rolls/buns,cake bar,82
rolls/buns,organic products,10
rolls/buns,softener,36
rolls/buns,cocoa drinks,15
rolls/buns,nut snack,17
rolls/buns,rubbing alcohol,5
rolls/buns,skin care,16
rolls/buns,cream,10
rolls/buns,ketchup,30
rolls/buns,syrup,19
rolls/buns,abrasive cleaner,16
rolls/buns,liqueur,8
rolls/buns,seasonal products,90
rolls/buns,cooking chocolate,13
rolls/buns,tidbits,22
rolls/buns,whisky,6
rolls/buns,candles,56
rolls/buns,male cosmetics,31
rolls/buns,dishes,116
rolls/buns,meat spreads,31
rolls/buns,cereals,36
rolls/buns,flower soil/fertilizer,14
rolls/buns,kitchen towels,26
rolls/buns,roll products,66
rolls/buns,dental care,29
rolls/buns,mayonnaise,67
rolls/buns,soft cheese,125
rolls/buns,organic sausage,18
rolls/buns,snack products,25
rolls/buns,instant coffee,52
rolls/buns,specialty fat,27
rolls/buns,mustard,76
rolls/buns,soups,43
rolls/buns,sweet spreads,54
rolls/buns,bags,3
rolls/buns,long life bakery product,201
rolls/buns,chocolate marshmallow,53
rolls/buns,rum,27
rolls/buns,sauces,39
rolls/buns,waffles,193
rolls/buns,napkins,234
rolls/buns,spices,34
rolls/buns,baby cosmetics,2
rolls/buns,brandy,37
rolls/buns,frozen fruits,10
rolls/buns,canned fruit,19
rolls/buns,zwieback,55
rolls/buns,liver loaf,46
rolls/buns,prosecco,18
rolls/buns,bathroom cleaner,13
rolls/buns,cat food,134
rolls/buns,semi-finished bread,117
rolls/buns,cookware,16
rolls/buns,canned fish,89
rolls/buns,chewing gum,149
rolls/buns,canned vegetables,67
rolls/buns,light bulbs,25
rolls/buns,artif. sweetener,24
rolls/buns,hygiene articles,166
rolls/buns,frozen fish,85
rolls/buns,potato products,21
rolls/buns,nuts/prunes,27
rolls/buns,vinegar,48
rolls/buns,frozen dessert,79
rolls/buns,decalcifier,9
rolls/buns,spread cheese,88
rolls/buns,house keeping products,40
rolls/buns,frozen chicken,5
rolls/buns,soap,20
rolls/buns,cling film/bags,63
rolls/buns,female sanitary products,35
rolls/buns,white bread,259
rolls/buns,pet care,72
rolls/buns,Instant food products,50
rolls/buns,salty snack,205
rolls/buns,specialty cheese,58
rolls/buns,baking powder,99
rolls/buns,dish cleaner,62
rolls/buns,sliced cheese,163
rolls/buns,frozen vegetables,284
rolls/buns,whipped/sour cream,377
rolls/buns,oil,178
rolls/buns,salt,71
rolls/buns,shopping bags,391
rolls/buns,margarine,302
rolls/buns,domestic eggs,355
rolls/buns,photo/film,64
rolls/buns,hair spray,8
rolls/buns,onions,228
rolls/buns,candy,176
rolls/buns,UHT-milk,240
rolls/buns,liquor (appetizer),61
rolls/buns,pickled vegetables,111
rolls/buns,liquor,83
rolls/buns,cream cheese,249
rolls/buns,hard cheese,170
rolls/buns,ice cream,186
rolls/buns,meat,195
rolls/buns,white wine,139
rolls/buns,cleaner,22
rolls/buns,condensed milk,83
rolls/buns,specialty chocolate,174
rolls/buns,dog food,56
rolls/buns,dessert,254
rolls/buns,bottled beer,369
rolls/buns,beverages,191
rolls/buns,finished products,50
rolls/buns,popcorn,43
rolls/buns,pasta,104
rolls/buns,curd,328
rolls/buns,newspapers,366
rolls/buns,sparkling wine,43
rolls/buns,fish,23
rolls/buns,processed cheese,123
rolls/buns,grapes,166
rolls/buns,detergent,107
rolls/buns,soda,546
rolls/buns,herbs,129
rolls/buns,frozen meals,186
rolls/buns,sugar,187
rolls/buns,flour,117
rolls/buns,frozen potato products,56
rolls/buns,red/blush wine,130
rolls/buns,curd cheese,41
rolls/buns,turkey,61
rolls/buns,ham,191
rolls/buns,misc. beverages,171
rolls/buns,coffee,316
rolls/buns,berries,240
rolls/buns,canned beer,382
rolls/buns,pastry,422
rolls/buns,pork,302
rolls/buns,root vegetables,497
rolls/buns,hamburger meat,237
rolls/buns,brown bread,355
rolls/buns,sausage,410
rolls/buns,yogurt,535
rolls/buns,bottled water,452
rolls/buns,butter milk,201
rolls/buns,specialty bar,168
rolls/buns,chocolate,259
rolls/buns,packaged fruit/vegetables,113
rolls/buns,fruit/vegetable juice,319
rolls/buns,butter,336
rolls/buns,chicken,281
rolls/buns,frankfurter,308
rolls/buns,beef,309
rolls/buns,citrus fruit,421
rolls/buns,pot plants,103
pot plants,toilet cleaner,2
pot plants,make up remover,1
pot plants,ready soups,2
pot plants,pudding powder,4
pot plants,specialty vegetables,2
pot plants,salad dressing,1
pot plants,tea,4
pot plants,rice,13
pot plants,flower (seeds),9
pot plants,jam,6
pot plants,honey,4
pot plants,cake bar,13
pot plants,organic products,3
pot plants,softener,9
pot plants,cocoa drinks,6
pot plants,nut snack,2
pot plants,rubbing alcohol,2
pot plants,skin care,1
pot plants,ketchup,7
pot plants,syrup,6
pot plants,abrasive cleaner,1
pot plants,seasonal products,14
pot plants,cooking chocolate,2
pot plants,tidbits,5
pot plants,whisky,2
pot plants,candles,13
pot plants,male cosmetics,4
pot plants,dishes,22
pot plants,meat spreads,10
pot plants,cereals,7
pot plants,kitchen towels,9
pot plants,roll products,14
pot plants,dental care,6
pot plants,mayonnaise,7
pot plants,soft cheese,22
pot plants,organic sausage,2
pot plants,snack products,6
pot plants,instant coffee,7
pot plants,specialty fat,8
pot plants,mustard,16
pot plants,soups,7
pot plants,sweet spreads,13
pot plants,bags,2
pot plants,long life bakery product,41
pot plants,chocolate marshmallow,8
pot plants,rum,8
pot plants,sauces,3
pot plants,waffles,41
pot plants,napkins,43
pot plants,spices,5
pot plants,brandy,5
pot plants,frozen fruits,2
pot plants,canned fruit,3
pot plants,zwieback,11
pot plants,liver loaf,5
pot plants,prosecco,4
pot plants,bathroom cleaner,2
pot plants,cat food,25
pot plants,semi-finished bread,25
pot plants,cookware,1
pot plants,canned fish,24
pot plants,chewing gum,29
pot plants,canned vegetables,14
pot plants,light bulbs,8
pot plants,artif. sweetener,3
pot plants,hygiene articles,36
pot plants,frozen fish,11
pot plants,potato products,3
pot plants,nuts/prunes,6
pot plants,vinegar,12
pot plants,frozen dessert,10
pot plants,decalcifier,1
pot plants,spread cheese,14
pot plants,house keeping products,8
pot plants,soap,4
pot plants,cling film/bags,11
pot plants,female sanitary products,9
pot plants,white bread,48
pot plants,pet care,16
pot plants,Instant food products,10
pot plants,salty snack,37
pot plants,specialty cheese,12
pot plants,baking powder,22
pot plants,dish cleaner,9
pot plants,sliced cheese,22
pot plants,frozen vegetables,42
pot plants,whipped/sour cream,70
pot plants,oil,27
pot plants,salt,12
pot plants,shopping bags,68
pot plants,margarine,47
pot plants,domestic eggs,62
pot plants,photo/film,10
pot plants,hair spray,3
pot plants,onions,42
pot plants,candy,28
pot plants,UHT-milk,43
pot plants,liquor (appetizer),6
pot plants,pickled vegetables,17
pot plants,liquor,13
pot plants,cream cheese,41
pot plants,hard cheese,28
pot plants,ice cream,35
pot plants,meat,34
pot plants,white wine,29
pot plants,cleaner,1
pot plants,condensed milk,9
pot plants,specialty chocolate,37
pot plants,dog food,9
pot plants,dessert,48
pot plants,bottled beer,65
pot plants,beverages,31
pot plants,finished products,15
pot plants,popcorn,7
pot plants,pasta,14
pot plants,curd,69
pot plants,newspapers,58
pot plants,sparkling wine,4
pot plants,fish,4
pot plants,processed cheese,24
pot plants,grapes,29
pot plants,detergent,12
pot plants,soda,97
pot plants,herbs,19
pot plants,frozen meals,36
pot plants,sugar,34
pot plants,flour,23
pot plants,frozen potato products,12
pot plants,red/blush wine,17
pot plants,curd cheese,3
pot plants,turkey,16
pot plants,ham,31
pot plants,misc. beverages,28
pot plants,coffee,53
pot plants,berries,32
pot plants,canned beer,73
pot plants,pastry,83
pot plants,pork,37
pot plants,root vegetables,85
pot plants,hamburger meat,41
pot plants,brown bread,56
pot plants,sausage,66
pot plants,yogurt,99
pot plants,bottled water,81
pot plants,butter milk,40
pot plants,specialty bar,23
pot plants,chocolate,48
pot plants,packaged fruit/vegetables,24
pot plants,fruit/vegetable juice,57
pot plants,butter,56
pot plants,chicken,54
pot plants,frankfurter,48
pot plants,beef,54
pot plants,citrus fruit,77
citrus fruit,toilet cleaner,4
citrus fruit,make up remover,2
citrus fruit,ready soups,7
citrus fruit,pudding powder,13
citrus fruit,specialty vegetables,7
citrus fruit,salad dressing,4
citrus fruit,tea,17
citrus fruit,rice,28
citrus fruit,flower (seeds),39
citrus fruit,jam,21
citrus fruit,honey,9
citrus fruit,cake bar,55
citrus fruit,organic products,6
citrus fruit,softener,28
citrus fruit,cocoa drinks,11
citrus fruit,nut snack,15
citrus fruit,rubbing alcohol,4
citrus fruit,skin care,13
citrus fruit,cream,6
citrus fruit,ketchup,19
citrus fruit,syrup,16
citrus fruit,abrasive cleaner,10
citrus fruit,liqueur,6
citrus fruit,seasonal products,60
citrus fruit,cooking chocolate,10
citrus fruit,tidbits,16
citrus fruit,whisky,6
citrus fruit,candles,40
citrus fruit,male cosmetics,21
citrus fruit,dishes,76
citrus fruit,meat spreads,20
citrus fruit,cereals,25
citrus fruit,flower soil/fertilizer,7
citrus fruit,kitchen towels,18
citrus fruit,roll products,46
citrus fruit,dental care,17
citrus fruit,mayonnaise,43
citrus fruit,soft cheese,84
citrus fruit,organic sausage,15
citrus fruit,snack products,14
citrus fruit,instant coffee,39
citrus fruit,specialty fat,15
citrus fruit,mustard,57
citrus fruit,soups,31
citrus fruit,sweet spreads,40
citrus fruit,bags,3
citrus fruit,long life bakery product,137
citrus fruit,chocolate marshmallow,43
citrus fruit,rum,21
citrus fruit,sauces,30
citrus fruit,waffles,140
citrus fruit,napkins,160
citrus fruit,spices,26
citrus fruit,baby cosmetics,1
citrus fruit,brandy,26
citrus fruit,frozen fruits,10
citrus fruit,canned fruit,13
citrus fruit,zwieback,42
citrus fruit,liver loaf,32
citrus fruit,prosecco,11
citrus fruit,bathroom cleaner,7
citrus fruit,cat food,102
citrus fruit,semi-finished bread,85
citrus fruit,cookware,10
citrus fruit,canned fish,65
